iteration,max_fitness,time,rrmse_0,rrmse_1,rrmse_2,rrmse_3,rrmse_4,rrmse_5,rrmse_6,rrmse_7,rrmse_8,rrmse_9,rrmse_10,rrmse_11,rrmse_12,rrmse_13,rrmse_14,rrmse_15
0,-0.095303416,0.0,1.5761136,1.268559,1.2436835,1.0489354,1.2179862,1.2937279,1.2469939,1.3652679,1.5806946,1.2403551,1.2023919,0.9740198,1.1775885,1.2799368,1.2143375,1.3480484
1,-0.12375152,2.2359702587127686,1.5750334,1.2675512,1.2429124,1.0493395,1.2182055,1.2937909,1.2468284,1.3653431,1.5804929,1.2404214,1.202687,0.9732139,1.1777596,1.279875,1.2147582,1.3490211
2,-0.06530523,1.836059331893921,1.5738567,1.266531,1.2423822,1.0487723,1.2181554,1.2938256,1.2468902,1.3651898,1.5778288,1.2391863,1.1992567,0.9721657,1.1770865,1.2770077,1.2136772,1.348039
3,-0.075846314,2.058324098587036,1.5758443,1.2678728,1.2434613,1.0506114,1.2180628,1.2932843,1.2459049,1.3628694,1.5778061,1.2389183,1.2030358,0.9733462,1.1768414,1.2797066,1.2151474,1.3496985
4,-0.0991267,2.020872116088867,1.5760677,1.2686688,1.242056,1.049071,1.2179523,1.2930988,1.2441922,1.362847,1.5796578,1.2401793,1.2001433,0.9732623,1.1778009,1.2802218,1.2150639,1.3495976
5,-0.084367394,1.9051079750061035,1.5751576,1.267814,1.2407336,1.0487795,1.2179259,1.2938299,1.2467064,1.3646632,1.5762076,1.2387717,1.1956577,0.9700848,1.1741394,1.2771649,1.2105409,1.3449554
6,-0.10448682,1.8635458946228027,1.5755343,1.2684882,1.2433753,1.05014,1.2172163,1.2929819,1.2469403,1.3644487,1.5806631,1.2394145,1.2038685,0.97509754,1.1773847,1.280143,1.2152535,1.3496833
7,-0.10980153,1.818220615386963,1.5762795,1.268677,1.2427958,1.0493643,1.2179426,1.2936927,1.2472905,1.3651041,1.5805798,1.2404166,1.2032659,0.97430676,1.1777897,1.2800536,1.2151889,1.3496903
8,-0.050599217,2.1792969703674316,1.5754687,1.2687372,1.2440014,1.0506035,1.2182451,1.2938067,1.247231,1.3653264,1.5804299,1.2401681,1.2038747,0.97507375,1.1778034,1.2802511,1.2152634,1.3495625
9,-0.08974159,1.8853018283843994,1.5724486,1.2658321,1.2396058,1.0449497,1.2181705,1.2938032,1.2466087,1.3651389,1.5801656,1.2399405,1.2021232,0.97306937,1.1767293,1.2800896,1.2148775,1.3489692
10,-0.11271238,1.9053001403808594,1.5760827,1.268555,1.243884,1.0504222,1.2182579,1.2938231,1.2472763,1.3652736,1.5784109,1.239508,1.2019815,0.97302896,1.1777714,1.2801235,1.2152482,1.349705
11,-0.052755237,1.9371604919433594,1.5755936,1.2686896,1.2441978,1.0507157,1.2180051,1.2933412,1.2472332,1.365261,1.5806799,1.2402722,1.203843,0.9749543,1.1777815,1.2802507,1.215028,1.3496785
12,-0.06092286,1.8709473609924316,1.5746531,1.267575,1.2412084,1.0485018,1.2175356,1.2935231,1.2457452,1.3643124,1.5791458,1.2391033,1.2016498,0.97322,1.1778039,1.280255,1.2146003,1.3481252
13,-0.07994282,2.1460981369018555,1.575006,1.267837,1.242707,1.0493933,1.2180042,1.2929788,1.2472832,1.3653014,1.5806346,1.2401947,1.2039672,0.97504,1.1775471,1.2796023,1.2151605,1.349614
14,-0.089481115,1.9367942810058594,1.5761813,1.2689524,1.2438045,1.0501431,1.2178097,1.2938076,1.2469144,1.36523,1.5803223,1.239771,1.2037854,0.974207,1.1777917,1.2801633,1.2146668,1.3488184
15,-0.10298896,1.9037935733795166,1.5754497,1.2667315,1.2435446,1.0500199,1.218123,1.2937348,1.2472906,1.3652463,1.580325,1.2393953,1.2030889,0.97464275,1.1776218,1.2800775,1.2151064,1.3496482
16,-0.09559846,1.8848328590393066,1.5753094,1.2688706,1.2431494,1.0505191,1.218237,1.2937531,1.2472891,1.3653343,1.5800567,1.240422,1.2024513,0.97447485,1.1774069,1.2801627,1.2148584,1.3493547
17,-0.07652962,1.945157527923584,1.5720062,1.2663785,1.2408898,1.0475308,1.2180305,1.2936827,1.2466512,1.3649461,1.5778297,1.2388716,1.1997718,0.9734391,1.1755451,1.2798966,1.2136861,1.3486615
18,-0.094797015,2.0343165397644043,1.5697676,1.2632401,1.23935,1.046512,1.2181306,1.2936542,1.2471724,1.3653525,1.5774337,1.237814,1.2024302,0.97293454,1.1745313,1.2754681,1.2141695,1.3488053
19,-0.09375608,1.940812349319458,1.5750954,1.2684076,1.2434453,1.0504832,1.2180016,1.293776,1.2472725,1.3652645,1.5804428,1.2404029,1.2031127,0.9749102,1.1775782,1.2798558,1.2152668,1.3496324
20,-0.068329334,1.8920652866363525,1.5753087,1.2678276,1.2432734,1.049456,1.217541,1.2930423,1.2466434,1.364018,1.5806808,1.2404056,1.2034192,0.97495455,1.1770641,1.2793839,1.2152702,1.3493788
21,-0.08810723,1.9215507507324219,1.576278,1.2688572,1.2441943,1.0508044,1.2179078,1.293214,1.2469255,1.3650584,1.5805408,1.240347,1.2039642,0.975089,1.1777015,1.279776,1.2151986,1.3495424
22,-0.074136615,2.064274549484253,1.5755514,1.2675301,1.2439611,1.0506272,1.2179157,1.2937809,1.2470657,1.3653483,1.5785931,1.2390977,1.2025408,0.9747498,1.17739,1.2797987,1.2152133,1.3493217
23,-0.117340684,4.533324956893921,1.5762788,1.2689224,1.2441506,1.0507338,1.216681,1.2918934,1.2464187,1.3630139,1.5805998,1.2404153,1.2030889,0.9743901,1.1774665,1.2801037,1.2152215,1.3497269
24,-0.087721825,1.8345487117767334,1.5699489,1.2634876,1.2374544,1.0442593,1.2180752,1.2937152,1.2467377,1.3653224,1.5798165,1.2396375,1.2014009,0.9730205,1.1767595,1.278795,1.2141395,1.3484776
